utterance,response
Hi,"Hi, I am your assistant today how can I help you today"
hello,"Hi, I am your assistant today how can I help you today"
hey there,"Hi, I am your assistant today how can I help you today"
hiiiiii,"Hi, I am your assistant today how can I help you today"
helooooo,"Hi, I am your assistant today how can I help you today"
bye,"Hope, I was able to help you take care, bye"
goodbye,"Hope, I was able to help you take care, bye"
babye,"Hope, I was able to help you take care, bye"
bye for now,"Hope, I was able to help you take care, bye"
thanks bye,"Hope, I was able to help you take care, bye"
who are you ?,I am Smart chatbot designed by <name>
what is your name ?,I am Smart chatbot designed by <name>
your name ?,I am Smart chatbot designed by <name>
tell me ur name ?,I am Smart chatbot designed by <name>
do you have any name ?,I am Smart chatbot designed by <name>
who is the Indian prime Minister,It's Narendra Modi
tell me the pm name ,It's Narendra Modi
prime minister name,It's Narendra Modi
name of indian prime minister,It's Narendra Modi
what is the name of prime minister of India ?,It's Narendra Modi
